,Hourly_Averages
0,4.416666666666667
1,1.5
2,1.0
3,3.9166666666666665
4,5.25
5,6.5
6,7.666666666666667
7,8.0
8,7.916666666666667
9,6.416666666666667
10,5.5
11,5.0
12,4.083333333333333
13,3.75
14,3.0
15,1.8333333333333333
16,1.0
17,0.75
18,3.5
19,2.6666666666666665
20,2.0833333333333335
21,2.5833333333333335
22,1.1666666666666667
23,1.4166666666666667
24,5.166666666666667
25,6.333333333333333
26,7.666666666666667
27,8.833333333333334
28,7.75
29,7.0
30,5.833333333333333
31,4.5
32,4.0
33,3.0833333333333335
34,1.0
35,1.0
36,3.0833333333333335
37,3.0833333333333335
38,1.5833333333333333
39,2.6666666666666665
40,3.5833333333333335
41,6.0
42,5.083333333333333
43,5.0
44,5.166666666666667
45,6.0
46,4.416666666666667
47,6.666666666666667
48,3.1666666666666665
49,1.9166666666666667
50,2.1666666666666665
51,1.25
52,1.0
53,2.1666666666666665
54,6.166666666666667
55,10.75
56,11.0
57,10.5
58,10.0
59,10.0
60,9.666666666666666
61,9.0
62,9.0
63,8.0
64,6.5
65,5.583333333333333
66,3.3333333333333335
67,1.5
68,2.0
69,1.9166666666666667
70,4.833333333333333
71,1.5
72,1.9166666666666667
73,7.916666666666667
74,12.0
75,12.0
76,12.0
77,12.0
78,12.0
79,10.166666666666666
80,8.5
81,8.0
82,8.0
83,7.666666666666667
84,6.25
85,4.333333333333333
86,3.0
87,2.0
88,1.5
89,2.0833333333333335
90,2.0833333333333335
91,1.0833333333333333
92,1.9166666666666667
93,5.583333333333333
94,10.0
95,10.0
96,10.0
97,9.833333333333334
98,9.0
99,8.0
100,8.0
101,8.0
102,8.0
103,7.083333333333333
104,7.0
105,6.333333333333333
106,5.0
107,3.25
108,1.0
109,1.1666666666666667
110,2.5
111,3.6666666666666665
112,6.25
113,7.0
114,6.666666666666667
115,5.0
116,5.0
117,4.75
118,4.0
119,4.0
120,3.4166666666666665
121,2.6666666666666665
122,1.5833333333333333
123,1.4166666666666667
124,1.0833333333333333
125,0.5833333333333334
126,1.4166666666666667
127,1.0
128,1.5
129,1.0
130,0.5
131,1.9166666666666667
132,6.833333333333333
133,8.0
134,8.0
135,8.0
136,7.833333333333333
137,7.0
138,6.583333333333333
139,6.0
140,5.666666666666667
141,2.9166666666666665
142,0.5
143,0.0
144,0.5833333333333334
145,2.5833333333333335
146,1.8333333333333333
147,8.0
148,8.0
149,7.0
150,7.0
151,7.0
152,7.0
153,7.0
154,6.333333333333333
155,6.0
156,6.0
157,6.0
158,6.0
159,6.0
160,4.5
161,1.75
162,0.0
163,1.4166666666666667
164,4.333333333333333
165,9.666666666666666
166,9.166666666666666
167,7.916666666666667
168,7.0
169,7.0
170,6.916666666666667
171,6.0
172,6.0
173,5.416666666666667
174,5.0
175,5.0
176,5.0
177,4.083333333333333
178,1.0
179,0.25
180,0.0
181,1.0833333333333333
182,3.5833333333333335
183,6.0
184,5.916666666666667
185,5.0
186,5.0
187,5.0
188,4.416666666666667
189,4.0
190,4.0
191,2.0
192,1.0833333333333333
193,1.75
194,1.3333333333333333
195,1.25
196,2.0
197,2.1666666666666665
198,3.25
199,3.75
200,4.0
201,4.0
202,4.0
203,4.0
204,6.333333333333333
205,7.0
206,7.0
207,4.583333333333333
208,6.0
209,6.0
210,5.416666666666667
211,3.0
212,3.0
213,3.0
214,2.0
215,1.75
216,1.25
217,1.0
218,1.6666666666666667
219,1.3333333333333333
220,2.5
221,4.0
222,3.1666666666666665
223,4.333333333333333
224,3.1666666666666665
225,0.16666666666666666
226,0.0
227,1.0
228,2.1666666666666665
229,1.8333333333333333
230,1.9166666666666667
231,2.0
232,2.9166666666666665
233,4.333333333333333
234,3.5
235,3.5833333333333335
236,4.416666666666667
237,3.8333333333333335
238,4.0
239,2.6666666666666665
240,7.583333333333333
241,9.0
242,8.416666666666666
243,8.0
244,8.0
245,8.0
246,8.0
247,7.5
248,3.75
249,0.8333333333333334
250,1.0
251,0.6666666666666666
252,2.0833333333333335
253,1.25
254,2.0
255,0.75
256,1.5833333333333333
257,0.5833333333333334
258,1.1666666666666667
259,1.8333333333333333
260,3.5833333333333335
261,2.5833333333333335
262,2.1666666666666665
263,3.4166666666666665
264,5.0
265,4.666666666666667
266,7.75
267,12.0
268,11.25
269,9.333333333333334
270,9.0
271,9.0
272,9.0
273,9.0
274,8.75
275,7.416666666666667
276,4.416666666666667
277,1.6666666666666667
278,4.0
279,2.1666666666666665
280,2.1666666666666665
281,3.0833333333333335
282,3.5833333333333335
283,3.9166666666666665
284,6.0
285,5.083333333333333
286,4.25
287,5.0
288,4.333333333333333
289,2.3333333333333335
290,1.3333333333333333
291,2.1666666666666665
292,1.6666666666666667
293,1.0
294,1.75
295,1.1666666666666667
296,1.0833333333333333
297,1.0
298,0.6666666666666666
299,0.8333333333333334
300,2.0
301,1.0833333333333333
302,3.0
303,2.0
304,4.5
305,6.916666666666667
306,6.0
307,6.0
308,1.9166666666666667
309,1.0
310,0.5833333333333334
311,2.0833333333333335
312,2.25
313,7.583333333333333
314,7.0
315,4.833333333333333
316,0.25
317,0.16666666666666666
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,1.5
327,1.75
328,1.3333333333333333
329,1.0833333333333333
330,2.25
331,2.0
332,2.6666666666666665
333,6.666666666666667
334,10.583333333333334
335,8.583333333333334
336,6.5
337,5.166666666666667
338,3.5833333333333335
339,2.3333333333333335
340,1.3333333333333333
341,2.0
342,0.8333333333333334
343,0.5833333333333334
344,1.0833333333333333
345,1.0833333333333333
346,0.4166666666666667
347,1.5
348,2.1666666666666665
349,2.3333333333333335
350,3.5833333333333335
351,3.1666666666666665
352,6.833333333333333
353,7.0
354,5.833333333333333
355,3.4166666666666665
356,1.0
357,0.0
358,3.3333333333333335
359,1.8333333333333333
360,4.916666666666667
361,3.25
362,2.0
363,1.0
364,1.0
365,0.6666666666666666
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,2.5
375,2.0
376,1.4166666666666667
377,0.5
378,4.083333333333333
379,7.0
380,7.0
381,6.916666666666667
382,5.0
383,2.3333333333333335
384,3.75
385,3.8333333333333335
386,2.75
387,1.9166666666666667
388,1.4166666666666667
389,2.9166666666666665
390,5.75
391,10.166666666666666
392,0.5833333333333334
393,0.0
394,0.0
395,0.25
396,2.8333333333333335
397,2.75
398,1.0833333333333333
399,1.0
400,1.25
401,1.75
402,2.4166666666666665
403,2.75
404,2.9166666666666665
405,5.916666666666667
406,6.25
407,5.25
408,5.0
409,4.25
410,1.6666666666666667
411,0.9166666666666666
412,1.1666666666666667
413,0.16666666666666666
414,0.08333333333333333
415,0.0
416,0.16666666666666666
417,0.08333333333333333
418,0.25
419,1.1666666666666667
420,2.5833333333333335
421,3.4166666666666665
422,2.5
423,4.5
424,3.0833333333333335
425,1.6666666666666667
426,7.583333333333333
427,8.0
428,8.0
429,8.416666666666666
430,8.75
431,5.75
432,4.416666666666667
433,1.4166666666666667
434,1.5
435,0.9166666666666666
436,0.5833333333333334
437,0.3333333333333333
438,0.25
439,0.0
440,0.0
441,0.6666666666666666
442,0.5833333333333334
443,1.1666666666666667
444,3.4166666666666665
445,3.5
446,3.5833333333333335
447,5.0
448,5.0
449,4.5
450,1.6666666666666667
451,2.0
452,3.0833333333333335
453,1.8333333333333333
454,3.0833333333333335
455,3.0
456,4.416666666666667
457,8.333333333333334
458,7.75
459,6.0
460,3.8333333333333335
461,0.5
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.4166666666666667
468,1.4166666666666667
469,2.0
470,2.5
471,1.25
472,0.3333333333333333
473,1.8333333333333333
474,3.3333333333333335
475,8.0
476,9.0
477,8.416666666666666
478,7.916666666666667
479,6.5
480,3.5
481,1.6666666666666667
482,2.75
483,2.5
484,1.0833333333333333
485,1.25
486,1.0833333333333333
487,0.16666666666666666
488,0.0
489,0.8333333333333334
490,0.3333333333333333
491,1.0833333333333333
492,1.6666666666666667
493,1.3333333333333333
494,1.5
495,3.25
496,5.916666666666667
497,5.833333333333333
498,4.666666666666667
499,3.0
500,3.0
501,2.75
502,3.3333333333333335
503,2.9166666666666665
504,1.8333333333333333
505,1.3333333333333333
506,2.5833333333333335
507,2.6666666666666665
508,3.5833333333333335
509,4.25
510,3.9166666666666665
511,1.9166666666666667
512,0.6666666666666666
513,1.0
514,1.0
515,2.3333333333333335
516,7.416666666666667
517,10.0
518,10.0
519,9.916666666666666
520,7.0
521,5.416666666666667
522,4.25
523,3.0
524,3.0
525,2.25
526,1.4166666666666667
527,1.75
528,3.4166666666666665
529,2.5833333333333335
530,4.666666666666667
531,5.75
532,5.0
533,4.25
534,4.0
535,4.0
536,4.0
537,4.0
538,3.4166666666666665
539,1.3333333333333333
540,1.5833333333333333
541,1.3333333333333333
542,1.1666666666666667
543,1.6666666666666667
544,0.8333333333333334
545,0.5833333333333334
546,3.8333333333333335
547,2.8333333333333335
548,2.5833333333333335
549,6.75
550,9.75
551,8.416666666666666
552,7.0
553,6.5
554,3.5
